Serial_Num,Country_Name,Population,Land_Area
1,Afghanistan,"38,928,346","652,860"
2,Albania,"2,877,797","27,400"
3,Algeria,"43,851,044","2,381,740"
4,Andorra,"77,265",470
5,Angola,"32,866,272","1,246,700"
6,Antigua and Barbuda,"97,929",440
7,Argentina,"45,195,774","2,736,690"
8,Armenia,"2,963,243","28,470"
9,Australia,"25,499,884","7,682,300"
10,Austria,"9,006,398","82,409"
11,Azerbaijan,"10,139,177","82,658"
12,Bahamas,"393,244","10,010"
13,Bahrain,"1,701,575",760
14,Bangladesh,"164,689,383","130,170"
15,Barbados,"287,375",430
16,Belarus,"9,449,323","202,910"
17,Belgium,"11,589,623","30,280"
18,Belize,"397,628","22,810"
19,Benin,"12,123,200","112,760"
20,Bhutan,"771,608","38,117"
21,Bolivia,"11,673,021","1,083,300"
22,Bosnia and Herzegovina,"3,280,819","51,000"
23,Botswana,"2,351,627","566,730"
24,Brazil,"212,559,417","8,358,140"
25,Brunei ,"437,479","5,270"
26,Bulgaria,"6,948,445","108,560"
27,Burkina Faso,"20,903,273","273,600"
28,Burundi,"11,890,784","25,680"
29,C̫te d'Ivoire,"26,378,274","318,000"
30,Cabo Verde,"555,987","4,030"
31,Cambodia,"16,718,965","176,520"
32,Cameroon,"26,545,863","472,710"
33,Canada,"37,742,154","9,093,510"
34,Central African Republic,"4,829,767","622,980"
35,Chad,"16,425,864","1,259,200"
36,Chile,"19,116,201","743,532"
37,China,"1,439,323,776","9,388,211"
38,Colombia,"50,882,891","1,109,500"
39,Comoros,"869,601","1,861"
40,Congo (Congo-Brazzaville),"5,518,087","341,500"
41,Costa Rica,"5,094,118","51,060"
42,Croatia,"4,105,267","55,960"
43,Cuba,"11,326,616","106,440"
44,Cyprus,"1,207,359","9,240"
45,Czechia (Czech Republic),"10,708,981","77,240"
46,Democratic Republic of the Congo,"89,561,403","2,267,050"
47,Denmark,"5,792,202","42,430"
48,Djibouti,"988,000","23,180"
49,Dominica,"71,986",750
50,Dominican Republic,"10,847,910","48,320"
51,Ecuador,"17,643,054","248,360"
52,Egypt,"102,334,404","995,450"
53,El Salvador,"6,486,205","20,720"
54,Equatorial Guinea,"1,402,985","28,050"
55,Eritrea,"3,546,421","101,000"
56,Estonia,"1,326,535","42,390"
57,"Eswatini (fmr. ""Swaziland"")","1,160,164","17,200"
58,Ethiopia,"114,963,588","1,000,000"
59,Fiji,"896,445","18,270"
60,Finland,"5,540,720","303,890"
61,France,"65,273,511","547,557"
62,Gabon,"2,225,734","257,670"
63,Gambia,"2,416,668","10,120"
64,Georgia,"3,989,167","69,490"
65,Germany,"83,783,942","348,560"
66,Ghana,"31,072,940","227,540"
67,Greece,"10,423,054","128,900"
68,Grenada,"112,523",340
69,Guatemala,"17,915,568","107,160"
70,Guinea,"13,132,795","245,720"
71,Guinea-Bissau,"1,968,001","28,120"
72,Guyana,"786,552","196,850"
73,Haiti,"11,402,528","27,560"
74,Holy See,801,0
75,Honduras,"9,904,607","111,890"
76,Hungary,"9,660,351","90,530"
77,Iceland,"341,243","100,250"
78,India,"1,380,004,385","2,973,190"
79,Indonesia,"273,523,615","1,811,570"
80,Iran,"83,992,949","1,628,550"
81,Iraq,"40,222,493","434,320"
82,Ireland,"4,937,786","68,890"
83,Israel,"8,655,535","21,640"
84,Italy,"60,461,826","294,140"
85,Jamaica,"2,961,167","10,830"
86,Japan,"126,476,461","364,555"
87,Jordan,"10,203,134","88,780"
88,Kazakhstan,"18,776,707","2,699,700"
89,Kenya,"53,771,296","569,140"
90,Kiribati,"119,449",810
91,Kuwait,"4,270,571","17,820"
92,Kyrgyzstan,"6,524,195","191,800"
93,Laos,"7,275,560","230,800"
94,Latvia,"1,886,198","62,200"
95,Lebanon,"6,825,445","10,230"
96,Lesotho,"2,142,249","30,360"
97,Liberia,"5,057,681","96,320"
98,Libya,"6,871,292","1,759,540"
99,Liechtenstein,"38,128",160
100,Lithuania,"2,722,289","62,674"
101,Luxembourg,"625,978","2,590"
102,Madagascar,"27,691,018","581,795"
103,Malawi,"19,129,952","94,280"
104,Malaysia,"32,365,999","328,550"
105,Maldives,"540,544",300
106,Mali,"20,250,833","1,220,190"
107,Malta,"441,543",320
108,Marshall Islands,"59,190",180
109,Mauritania,"4,649,658","1,030,700"
110,Mauritius,"1,271,768","2,030"
111,Mexico,"128,932,753","1,943,950"
112,Micronesia,"548,914",700
113,Moldova,"4,033,963","32,850"
114,Monaco,"39,242",1
115,Mongolia,"3,278,290","1,553,560"
116,Montenegro,"628,066","13,450"
117,Morocco,"36,910,560","446,300"
118,Mozambique,"31,255,435","786,380"
119,Myanmar (formerly Burma),"54,409,800","653,290"
120,Namibia,"2,540,905","823,290"
121,Nauru,"10,824",20
122,Nepal,"29,136,808","143,350"
123,Netherlands,"17,134,872","33,720"
124,New Zealand,"4,822,233","263,310"
125,Nicaragua,"6,624,554","120,340"
126,Niger,"24,206,644","1,266,700"
127,Nigeria,"206,139,589","910,770"
128,North Korea,"25,778,816","120,410"
129,North Macedonia,"2,083,374","25,220"
130,Norway,"5,421,241","365,268"
131,Oman,"5,106,626","309,500"
132,Pakistan,"220,892,340","770,880"
133,Palau,"18,094",460
134,Palestine State,"5,101,414","6,020"
135,Panama,"4,314,767","74,340"
136,Papua New Guinea,"8,947,024","452,860"
137,Paraguay,"7,132,538","397,300"
138,Peru,"32,971,854","1,280,000"
139,Philippines,"109,581,078","298,170"
140,Poland,"37,846,611","306,230"
141,Portugal,"10,196,709","91,590"
142,Qatar,"2,881,053","11,610"
143,Romania,"19,237,691","230,170"
144,Russia,"145,934,462","16,376,870"
145,Rwanda,"12,952,218","24,670"
146,Saint Kitts and Nevis,"53,199",260
147,Saint Lucia,"183,627",610
148,Saint Vincent and the Grenadines,"110,940",390
149,Samoa,"198,414","2,830"
150,San Marino,"33,931",60
151,Sao Tome and Principe,"219,159",960
152,Saudi Arabia,"34,813,871","2,149,690"
153,Senegal,"16,743,927","192,530"
154,Serbia,"8,737,371","87,460"
155,Seychelles,"98,347",460
156,Sierra Leone,"7,976,983","72,180"
157,Singapore,"5,850,342",700
158,Slovakia,"5,459,642","48,088"
159,Slovenia,"2,078,938","20,140"
160,Solomon Islands,"686,884","27,990"
161,Somalia,"15,893,222","627,340"
162,South Africa,"59,308,690","1,213,090"
163,South Korea,"51,269,185","97,230"
164,South Sudan,"11,193,725","610,952"
165,Spain,"46,754,778","498,800"
166,Sri Lanka,"21,413,249","62,710"
167,Sudan,"43,849,260","1,765,048"
168,Suriname,"586,632","156,000"
169,Sweden,"10,099,265","410,340"
170,Switzerland,"8,654,622","39,516"
171,Syria,"17,500,658","183,630"
172,Tajikistan,"9,537,645","139,960"
173,Tanzania,"59,734,218","885,800"
174,Thailand,"69,799,978","510,890"
175,Timor-Leste,"1,318,445","14,870"
176,Togo,"8,278,724","54,390"
177,Tonga,"105,695",720
178,Trinidad and Tobago,"1,399,488","5,130"
179,Tunisia,"11,818,619","155,360"
180,Turkey,"84,339,067","769,630"
181,Turkmenistan,"6,031,200","469,930"
182,Tuvalu,"11,792",30
183,Uganda,"45,741,007","199,810"
184,Ukraine,"43,733,762","579,320"
185,United Arab Emirates,"9,890,402","83,600"
186,United Kingdom,"67,886,011","241,930"
187,United States of America,"331,002,651","9,147,420"
188,Uruguay,"3,473,730","175,020"
189,Uzbekistan,"33,469,203","425,400"
190,Vanuatu,"307,145","12,190"
191,Venezuela,"28,435,940","882,050"
192,Vietnam,"97,338,579","310,070"
193,Yemen,"29,825,964","527,970"
194,Zambia,"18,383,955","743,390"
195,Zimbabwe,"14,862,924","386,850"
